Company,Supersector,Country,Weight (%)
ROYAL MAIL,Industrial Goods & Services,GB,0.02
ELIS,Industrial Goods & Services,FR,0.02
RATIONAL,Industrial Goods & Services,DE,0.02
VICTREX,Chemicals,GB,0.02
ACCIONA S.A.,Construction & Materials,ES,0.02
GRENKE N,Financial Services,DE,0.02
BANK OF IRELAND GROUP,Banks,IE,0.02
BAWAG GROUP AG,Banks,AT,0.02
DASSAULT AVIATION,Industrial Goods & Services,FR,0.02
FREENET,Telecommunications,DE,0.02
GRP 4 SECURICOR,Industrial Goods & Services,GB,0.02
Signature Aviation,Industrial Goods & Services,GB,0.02
SCHIBSTED GRUPPEN,Media,NO,0.02
VISTRY GROUP,Personal & Household Goods,GB,0.02
BCO SABADELL,Banks,ES,0.02
AKER BP,Oil & Gas,NO,0.02
SAAB B,Industrial Goods & Services,SE,0.02
CLOSE BROTHERS GRP,Banks,GB,0.02
HEXPOL 'B',Chemicals,SE,0.02
SOPRA STERIA GROUP,Technology,FR,0.02
SPIE,Industrial Goods & Services,FR,0.02
EVRAZ,Basic Resources,GB,0.02
MAPFRE,Insurance,ES,0.02
EASYJET,Travel & Leisure,GB,0.02
MICRO FOCUS INTERNATIONAL,Technology,GB,0.02
HOCHTIEF,Construction & Materials,DE,0.02
LOOMIS B,Industrial Goods & Services,SE,0.02
CHRISTIAN DIOR,Personal & Household Goods,FR,0.02
TOPDANMARK,Insurance,DK,0.02
COUNTRYSIDE PROPERTIES PLC,Personal & Household Goods,GB,0.02
OSRAM LICHT,Industrial Goods & Services,DE,0.02
HUGO BOSS,Personal & Household Goods,DE,0.02
WOOD GRP (JOHN),Oil & Gas,GB,0.02
TGS-NOPEC GEOPHYSICAL,Oil & Gas,NO,0.02
GREAT PORTLAND ESTATES,Real Estate,GB,0.02
REDROW,Personal & Household Goods,GB,0.02
FRAPORT,Industrial Goods & Services,DE,0.02
METRO AG,Retail,DE,0.02
